,ttf-liberation
,ttf-linux-libertine
,rxvt-unicode
,xorg-server
,xorg-xinit
,xorg-xsetroot
,xorg-xprop
,xorg-xdpyinfo
,xorg-xrandr
,xf86-video-intel
,libxinerama
,libxft
,udisks2
,ntfs-3g
,libnotify
,xwallpaper
,picom
,man-db
,dunst
,tree
,xclip
,acpi
,pulseaudio
,pavucontrol
,pamixer
,neovim
,openssh
,rsync
,zsh
,lua
,go
,python
,shellcheck
,sxiv
,zathura
,zathura-pdf-mupdf
,mpv
,htop
,unzip
,firefox
,scrot
,slock
,xorg-xbacklight
a,nvim-packer-git
a,lf-git
a,sc-im
g,https://github.com/bulirma/dmenu.git
g,https://github.com/bulirma/dwm.git
